iter	Logloss
0	0.6890948891
1	0.6839283851
2	0.6781052819
3	0.6730463486
4	0.6669813331
5	0.6613600219
6	0.6561585059
7	0.6517483449
8	0.6466299723
9	0.6427353567
10	0.6377513596
11	0.6333591582
12	0.6296016227
13	0.6244391006
14	0.6193301242
15	0.6160017406
16	0.6117931568
17	0.6090477766
18	0.6044959808
19	0.6013768497
20	0.5982749151
21	0.592313236
22	0.5887002976
23	0.5846587768
24	0.5795303697
25	0.5765625839
26	0.5731790766
27	0.5692601735
28	0.5646538526
29	0.5603965101
30	0.5565960669
31	0.5515720674
32	0.5477881007
33	0.544627109
34	0.5410727091
35	0.5372191188
36	0.5345592008
37	0.5303654139
38	0.5274968873
39	0.5245920562
40	0.5195988852
41	0.5165234696
42	0.512455694
43	0.5083161939
44	0.5052168313
45	0.502247105
46	0.4993879557
47	0.4964540159
48	0.4923750105
49	0.489145606
50	0.4854542019
51	0.4815290803
52	0.4789653201
53	0.4761323699
54	0.4731869757
55	0.4704879153
56	0.4667965009
57	0.4638703483
58	0.4609216448
59	0.4583492508
60	0.45535345
61	0.4532787602
62	0.4508788455
63	0.4487378682
64	0.4466601451
65	0.4451180882
66	0.4425995493
67	0.4403735601
68	0.4374503929
69	0.4354303122
70	0.4331301344
71	0.4313226533
72	0.4282863418
73	0.4262686023
74	0.4235245075
75	0.4212232044
76	0.4180373379
77	0.4156128461
78	0.4130760688
79	0.4103230436
80	0.4082552714
81	0.4063544333
82	0.4050161302
83	0.4025414856
84	0.4000399722
85	0.3982140916
86	0.3966088354
87	0.3945881232
88	0.3929100238
89	0.391151034
90	0.3894594028
91	0.3873651664
92	0.385246986
93	0.38357866
94	0.3821193693
95	0.380281972
96	0.3785972811
97	0.3764458551
98	0.3748785088
99	0.373128676
100	0.3713655967
101	0.3697562282
102	0.3675114963
103	0.3656667722
104	0.3645108485
105	0.3633637783
106	0.3618134312
107	0.3602383308
108	0.3585604337
109	0.3570218283
110	0.355060057
111	0.3539708881
112	0.3524244437
113	0.3504451606
114	0.3486692912
115	0.3476481837
116	0.3466101556
117	0.3446668578
118	0.3431443541
119	0.3415738694
120	0.3402203146
121	0.3385592671
122	0.3368785708
123	0.3352948888
124	0.3341225297
125	0.3331146904
126	0.3316810498
127	0.3299504929
128	0.3283329852
129	0.3262322006
130	0.3251316783
131	0.3242944833
132	0.323069124
133	0.3218727635
134	0.320391451
135	0.3192837697
136	0.3176735082
137	0.3162969446
138	0.3149552307
139	0.3133877114
140	0.3123942798
141	0.3113033131
142	0.3099637608
143	0.3088667221
144	0.3076060659
145	0.3060754789
146	0.3045969151
147	0.3034822214
148	0.3024486327
149	0.3012424887
150	0.3005241898
151	0.2997211487
152	0.2988177989
153	0.2977517093
154	0.2962923167
155	0.2952235398
156	0.2941782714
157	0.2930943204
158	0.2916759624
159	0.2906872765
160	0.289341098
161	0.288154886
162	0.2874060197
163	0.2863010038
164	0.2847088137
165	0.2837502816
166	0.2827535208
167	0.2817098498
168	0.2805071343
169	0.279704225
170	0.2787452023
171	0.2777075912
172	0.2769749849
173	0.2759465377
174	0.2751760622
175	0.2743830315
176	0.2737422586
177	0.2727745717
178	0.2721312814
179	0.2713339372
180	0.2706332923
181	0.2695466994
182	0.268716227
183	0.2675624329
184	0.2664298998
185	0.2655197676
186	0.2647285679
187	0.2642355879
188	0.2634702363
189	0.2629990465
190	0.2622001232
191	0.2610970325
192	0.2606022709
193	0.2601017292
194	0.2593322714
195	0.2586737122
196	0.2577172096
197	0.2570796238
198	0.2564737187
199	0.2559622614
200	0.2553133815
201	0.2546848645
202	0.2536918606
203	0.2531807627
204	0.2524879296
205	0.2516427525
206	0.2506839875
207	0.2500293574
208	0.249408077
209	0.2488185422
210	0.2481180048
211	0.2471086451
212	0.2463818777
213	0.2458473131
214	0.2450971399
215	0.2442882478
216	0.2436640925
217	0.2425715448
218	0.2417471705
219	0.241036638
220	0.2399823259
221	0.2392267446
222	0.2384685385
223	0.2378531244
224	0.2372692855
225	0.2365002775
226	0.2358357696
227	0.2352708989
228	0.2344930995
229	0.2338785701
230	0.2333733993
231	0.232587708
232	0.2319954124
233	0.2312264001
234	0.2305908936
235	0.2301428759
236	0.2296789601
237	0.229162366
238	0.2285137407
239	0.2274344612
240	0.2268769799
241	0.2261052123
242	0.2253212805
243	0.2245173968
244	0.2238031408
245	0.2234885783
246	0.222852955
247	0.2221583468
248	0.2215283177
249	0.2208377342
250	0.2202268688
251	0.219682702
252	0.2192516897
253	0.2183916294
254	0.2178483594
255	0.2171549655
256	0.2167227846
257	0.2160860659
258	0.2154643813
259	0.2146362643
260	0.2142068207
261	0.2136075349
262	0.2130730004
263	0.2124004836
264	0.2117942546
265	0.2114135036
266	0.2108063361
267	0.2105393156
268	0.2099627637
269	0.2094775387
270	0.2089693946
271	0.2084823375
272	0.2080273071
273	0.2076036189
274	0.206978461
275	0.2065864418
276	0.2061476835
277	0.2055811187
278	0.204865063
279	0.2044859089
280	0.2039414218
281	0.203635706
282	0.2029929327
283	0.2024217845
284	0.2018639854
285	0.2015130894
286	0.2011097918
287	0.2005224905
288	0.2000944463
289	0.1995558516
290	0.1992229095
291	0.1985840647
292	0.198251168
293	0.1979536354
294	0.1974756014
295	0.1969651478
296	0.196648338
297	0.1963272256
298	0.1959677442
299	0.1954537215
300	0.1949761112
301	0.1943993534
302	0.1939414925
303	0.1935065303
304	0.1931451921
305	0.1928066027
306	0.1923758366
307	0.1919293401
308	0.1914462583
309	0.1909254183
310	0.1904876648
311	0.1900098776
312	0.1893920564
313	0.1887678955
314	0.1881290726
315	0.1878008549
316	0.1874060347
317	0.186809284
318	0.1865001194
319	0.1863778953
320	0.1859162921
321	0.1856361867
322	0.1852973728
323	0.1848077744
324	0.1842789625
325	0.1836715375
326	0.183307138
327	0.1829128923
328	0.1825222408
329	0.1820434026
330	0.1815883552
331	0.18117273
332	0.1808704199
333	0.1804504509
334	0.1799006308
335	0.179514298
336	0.1790612282
337	0.1787925236
338	0.1783525555
339	0.1779292178
340	0.1776423329
341	0.1773236149
342	0.1769465328
343	0.176389878
344	0.1759329702
345	0.1756892184
346	0.1752985671
347	0.1749505524
348	0.1745848071
349	0.1743728391
350	0.1739590285
351	0.1735676987
352	0.1731843295
353	0.1727142567
354	0.172323258
355	0.1718489666
356	0.1715517465
357	0.1711481399
358	0.1707485872
359	0.1705670705
360	0.1703108035
361	0.1698330864
362	0.1695220222
363	0.1691339216
364	0.1686705836
365	0.168413964
366	0.1681722008
367	0.1678584099
368	0.1676628039
369	0.167390677
370	0.1670792846
371	0.1667806638
372	0.1665315376
373	0.1662706073
374	0.166024148
375	0.1657126232
376	0.1652338279
377	0.1649522243
378	0.1647610213
379	0.1645345574
380	0.1642162419
381	0.1639159689
382	0.1634926474
383	0.1630814378
384	0.1625256188
385	0.1621712849
386	0.1618438966
387	0.1615821328
388	0.1613710644
389	0.1610199145
390	0.1605221833
391	0.1600551863
392	0.1596497913
393	0.1594505416
394	0.1591761292
395	0.1589637005
396	0.1585056648
397	0.1581002175
398	0.1577944414
399	0.1576059697
400	0.1573178138
401	0.1569859162
402	0.1567475331
403	0.1564080368
404	0.1560810317
405	0.1559278231
406	0.1556468333
407	0.1554735316
408	0.1552078166
409	0.1549405883
410	0.1545653679
411	0.1542841562
412	0.1539265273
413	0.1536597505
414	0.1533457228
415	0.1529848876
416	0.1527722137
417	0.1525347123
418	0.1523020106
419	0.1519163552
420	0.1516635528
421	0.1513660427
422	0.1509734797
423	0.1505866637
424	0.1504597268
425	0.1502089531
426	0.1499896584
427	0.1498318023
428	0.1495950025
429	0.1491594407
430	0.1489576172
431	0.1485783692
432	0.1481838951
433	0.1479117981
434	0.1476340617
435	0.1474148434
436	0.1470664941
437	0.1468482225
438	0.1464614932
439	0.1462001964
440	0.1459246645
441	0.1457134657
442	0.1454849104
443	0.1452850043
444	0.145052347
445	0.1448455627
446	0.1443191158
447	0.1440378958
448	0.1437894166
449	0.1434231306
450	0.1432652957
451	0.1429621434
452	0.1425952769
453	0.1423328615
454	0.1421480541
455	0.1417722074
456	0.1415568796
457	0.1413627703
458	0.14105086
459	0.140807218
460	0.1405775911
461	0.1402973243
462	0.1400963326
463	0.1399677566
464	0.1396662186
465	0.1391850117
466	0.1387203976
467	0.1384441948
468	0.1382762544
469	0.1378916496
470	0.1377683354
471	0.1375482945
472	0.1373157965
473	0.137108771
474	0.1368545647
475	0.1367212651
476	0.1365187656
477	0.1362551525
478	0.1361655472
479	0.1358913491
480	0.1356462812
481	0.1354971085
482	0.1352197254
483	0.135064709
484	0.1350101031
485	0.1346206852
486	0.1345203373
487	0.1341870203
488	0.1339722604
489	0.13381887
490	0.1336537033
491	0.1334458501
492	0.1332731767
493	0.1330969767
494	0.1327422698
495	0.1324398375
496	0.1320989414
497	0.1317155792
498	0.1315314537
499	0.1311519673
500	0.1309257104
501	0.130658926
502	0.13042116
503	0.1302038267
504	0.1298777522
505	0.129633404
506	0.1292848848
507	0.1290795222
508	0.128818732
509	0.1285481258
510	0.1282763547
511	0.1281210079
512	0.1279614499
513	0.1277902063
514	0.1277559554
515	0.1276306194
516	0.1274027654
517	0.1271372901
518	0.1269705534
519	0.1266713392
520	0.1264578726
521	0.1263331097
522	0.1260011904
523	0.1258337911
524	0.125632969
525	0.1253449614
526	0.1252200952
527	0.1249745748
528	0.1247118555
529	0.1244460291
530	0.1243712857
531	0.1242866626
532	0.1241104814
533	0.1238394833
534	0.1235295702
535	0.1232769517
536	0.1230966647
537	0.1229371859
538	0.1227351135
539	0.1225188837
540	0.1222978908
541	0.1222133131
542	0.1219935667
543	0.1218246221
544	0.1216623584
545	0.1214688367
546	0.1212480672
547	0.120981878
548	0.1208115887
549	0.1206771353
550	0.1204624162
551	0.1203625404
552	0.120244084
553	0.1198960456
554	0.1198063751
555	0.1194515696
556	0.1192516817
557	0.1190916966
558	0.1188535688
559	0.1185359354
560	0.1183735561
561	0.118143805
562	0.1179735478
563	0.1177923692
564	0.1177243928
565	0.1173758271
566	0.1171032156
567	0.1167848403
568	0.1166636062
569	0.1165335753
570	0.1163594768
571	0.116145102
572	0.1159878164
573	0.1158225249
574	0.1156292045
575	0.1154294604
576	0.1151380635
577	0.1148835815
578	0.1145813516
579	0.114346116
580	0.1142595751
581	0.1140696082
582	0.1139183676
583	0.1137034958
584	0.1134652151
585	0.1133430724
586	0.1130707608
587	0.1129130518
588	0.1127652828
589	0.112541407
590	0.1123339326
591	0.1120816411
592	0.1118963823
593	0.1116538942
594	0.1113503252
595	0.1110492316
596	0.1106855683
597	0.1106188544
598	0.1104776714
599	0.1102532195
600	0.1101166463
601	0.1099130868
602	0.1097393663
603	0.1094433098
604	0.1091081177
605	0.109017652
606	0.1088127757
607	0.1085764196
608	0.1083286521
609	0.108196048
610	0.1080883341
611	0.1078503181
612	0.107615009
613	0.1074662656
614	0.107175059
615	0.1070336041
616	0.1067907733
617	0.1066703925
618	0.1065110006
619	0.1063769466
620	0.1061414772
621	0.105967223
622	0.1058751093
623	0.105570703
624	0.1054252661
625	0.1053197703
626	0.1052039802
627	0.1050881854
628	0.1049866109
629	0.1048342914
630	0.1046969221
631	0.1045617861
632	0.1043236383
633	0.1042204319
634	0.1040875317
635	0.1039681754
636	0.1039240565
637	0.1036959992
638	0.1035877014
639	0.1035612006
640	0.1033769825
641	0.1032828141
642	0.1031757334
643	0.1031149252
644	0.1028655637
645	0.1027239576
646	0.1025893535
647	0.1024490573
648	0.1022457568
649	0.1019864571
650	0.1018067393
651	0.1016982355
652	0.1015098161
653	0.1013618977
654	0.101182102
655	0.1010245112
656	0.1007368614
657	0.1005399947
658	0.1004917809
659	0.1003464013
660	0.1001379151
661	0.1000471878
662	0.09999264493
663	0.09994236338
664	0.09982684545
665	0.09964183853
666	0.09946514896
667	0.09934877899
668	0.09918222587
669	0.09901858011
670	0.09889081948
671	0.09874452091
672	0.09871274091
673	0.09859325461
674	0.0984172224
675	0.0982743206
676	0.09816390126
677	0.09799226144
678	0.09798062555
679	0.09787911144
680	0.09769885622
681	0.0974941499
682	0.09735875958
683	0.09725067492
684	0.09717924083
685	0.09701772202
686	0.09693661046
687	0.09683903368
688	0.0967723585
689	0.09656458036
